venue_no,name,region,location,rating,no_of_reviews,price_text,price_type,price_numeric,capacity,min_capacity,max_capacity,url
V1049,Derwent Manor Hotel,North East - England,"Allensford, Durham",5.0,1.0,From £69,meal,69.0,"300
Guests",300.0,N/A,https://www.hitched.co.uk/wedding-venues/derwent-manor-hotel_326541.htm
V1050,The Honest Lawyer Hotel,North East - England,"Durham City, Durham",N/A,N/A,From £50,meal,50.0,"50
Guests",50.0,N/A,https://www.hitched.co.uk/wedding-venues/the-honest-lawyer-hotel_365867.htm
V1051,Macdonald Linden Hall Hotel,North East - England,"Rothbury, Northumberland",5.0,49.0,From £95,meal,95.0,"2 to 200
Guests",2.0,200.0,https://www.hitched.co.uk/wedding-venues/macdonald-linden-hall-hotel_1852.htm
V1052,Doxford Barns,North East - England,"Alnwick, Northumberland",4.9,50.0,From £75,meal,75.0,"30 to 250
Guests",30.0,250.0,https://www.hitched.co.uk/wedding-venues/doxford-barns_6252.htm
V1053,Wynyard Golf Club,North East - England,"Wynyard, Durham",4.8,9.0,From £62,meal,62.0,"30 to 120
Guests",30.0,120.0,https://www.hitched.co.uk/wedding-venues/wynyard-golf-club_4980.htm
V1054,The Comb,North East - England,"Kielder Water, Northumberland",5.0,5.0,"From £5,200",venue,5200.0,"40 to 150
Guests",40.0,150.0,https://www.hitched.co.uk/wedding-venues/the-comb_7588.htm
V1055,The Bosk,North East - England,"Alnwick, Northumberland",5.0,4.0,From £40,meal,40.0,"1 to 65
Guests",1.0,65.0,https://www.hitched.co.uk/wedding-venues/the-bosk_327853.htm
V1056,Northside Farm,North East - England,"Corbridge, Northumberland",5.0,38.0,"From £1,500",venue,1500.0,"15 to 250
Guests",15.0,250.0,https://www.hitched.co.uk/wedding-venues/northside-farm_6921.htm
V1057,Tournerbury,Hampshire,"Hayling Island, Hampshire",5.0,91.0,"From £3,950",venue,3950.0,"30 to 250
Guests",30.0,250.0,https://www.hitched.co.uk/wedding-venues/tournerbury_5865.htm
V1058,Blacknest Golf & Country Club,Hampshire,"Alton, Hampshire",5.0,42.0,From £85,meal,85.0,"70 to 150
Guests",70.0,150.0,https://www.hitched.co.uk/wedding-venues/blacknest-golf-country-club_5861.htm
V1059,Southdowns Manor,Hampshire,"Petersfield, Hampshire",5.0,172.0,From £99,meal,99.0,"10 to 150
Guests",10.0,150.0,https://www.hitched.co.uk/wedding-venues/southdowns-manor_2623.htm
V1060,The Basingstoke Country Hotel & Spa,Hampshire,"Hook, Hampshire",4.5,4.0,From £55,meal,55.0,"160
Guests",160.0,N/A,https://www.hitched.co.uk/wedding-venues/the-basingstoke-country-hotel-spa_1012.htm
V1061,Cain Manor,Hampshire,"Headley Down, Hampshire",4.9,197.0,N/A,N/A,N/A,"170
Guests",170.0,N/A,https://www.hitched.co.uk/wedding-venues/cain-manor_3182.htm
V1062,Botleys Mansion,Hampshire,Hampshire,4.9,118.0,N/A,N/A,N/A,"50 to 288
Guests",50.0,288.0,https://www.hitched.co.uk/wedding-venues/botleys-mansion_5324.htm
V1063,Old Thorns Hotel & Resort,Hampshire,"Liphook, Hampshire",4.9,65.0,"From £4,050",meal,4050.0,"40 to 500
Guests",40.0,500.0,https://www.hitched.co.uk/wedding-venues/old-thorns-manor-hotel-golf-country-estate_3383.htm
V1064,"Pembroke Lodge, Richmond Park",Hampshire,Hampshire,5.0,1131.0,From £109,meal,109.0,"20 to 146
Guests",20.0,146.0,https://www.hitched.co.uk/wedding-venues/pembroke-lodge-richmond-park_2060.htm
V1065,Wickham Estate Vineyard,Hampshire,"Southampton, Hampshire",5.0,38.0,"From £2,500",venue,2500.0,"50 to 85
Guests",50.0,85.0,https://www.hitched.co.uk/wedding-venues/wickham-estate-vineyard_198063.htm
V1066,Meon Valley Hotel & Country Club,Hampshire,"Southampton, Hampshire",4.9,34.0,From £1,meal,1.0,"10 to 100
Guests",10.0,100.0,https://www.hitched.co.uk/wedding-venues/meon-valley-hotel-country-club_1019.htm
V1067,Oakley Hall Hotel,Hampshire,"Oakley, Hampshire",5.0,121.0,From £139,meal,139.0,"10 to 400
Guests",10.0,400.0,https://www.hitched.co.uk/wedding-venues/oakley-hall-hotel_3803.htm
V1068,Aviator Hampshire,Hampshire,"Farnborough, Hampshire",5.0,17.0,From £120,meal,120.0,"2 to 125
Guests",2.0,125.0,https://www.hitched.co.uk/wedding-venues/aviator_5189.htm
V1069,The Casa Hotel,Hampshire,"Yateley, Hampshire",5.0,53.0,From £109,meal,109.0,"6 to 180
Guests",6.0,180.0,https://www.hitched.co.uk/wedding-venues/the-casa-hotel_4626.htm
V1070,voco Fareham-Solent,Hampshire,"Whiteley, Hampshire",5.0,21.0,From £38,meal,38.0,"80
Guests",80.0,N/A,https://www.hitched.co.uk/wedding-venues/voco-fareham-solent_195047.htm
V1071,The Mill House Hotel & Restaurant,Hampshire,Hampshire,5.0,169.0,From £79,meal,79.0,"10 to 120
Guests",10.0,120.0,https://www.hitched.co.uk/wedding-venues/the-mill-house-hotel-restaurant_2813.htm
V1072,Farnham Castle,Hampshire,Hampshire,4.9,52.0,"From £4,000",venue,4000.0,"30 to 265
Guests",30.0,265.0,https://www.hitched.co.uk/wedding-venues/farnham-castle_7363.htm
V1073,Avington Park,Hampshire,"Winchester, Hampshire",N/A,N/A,"From £5,000",venue,5000.0,"2 to 180
Guests",2.0,180.0,https://www.hitched.co.uk/wedding-venues/avington-park_280454.htm
V1074,Rivervale Barn,Hampshire,"Yateley, Hampshire",5.0,58.0,"From £2,900",venue,2900.0,"150
Guests",150.0,N/A,https://www.hitched.co.uk/wedding-venues/rivervale-barn_5858.htm
V1075,Audleys Wood Hotel,Hampshire,"Basingstoke, Hampshire",5.0,69.0,From £120,meal,120.0,"2 to 200
Guests",2.0,200.0,https://www.hitched.co.uk/wedding-venues/audleys-wood-hotel_4001.htm
V1076,Bury Court Barn,Hampshire,"Lower Froyle, Hampshire",4.9,46.0,"From £6,996",venue,6996.0,"60 to 200
Guests",60.0,200.0,https://www.hitched.co.uk/wedding-venues/bury-court-barn_3191.htm
V1077,The Tithe Barn,Hampshire,"Petersfield, Hampshire",5.0,1.0,N/A,N/A,N/A,"40 to 250
Guests",40.0,250.0,https://www.hitched.co.uk/wedding-venues/the-tithe-barn_363949.htm
V1078,voco Winchester Hotel & Spa,Hampshire,"Winchester, Hampshire",5.0,3.0,From £65,meal,65.0,"50 to 150
Guests",50.0,150.0,https://www.hitched.co.uk/wedding-venues/voco-winchester-hotel-&-spa_361411.htm
V1079,Rhinefield House Hotel,Hampshire,"Brockenhurst, Hampshire",5.0,28.0,From £164,meal,164.0,"2 to 130
Guests",2.0,130.0,https://www.hitched.co.uk/wedding-venues/rhinefield-house-hotel_1039.htm
V1080,Hawk Conservancy Trust,Hampshire,"Andover, Hampshire",4.8,5.0,"From £3,600",venue,3600.0,"2 to 50
Guests",2.0,50.0,https://www.hitched.co.uk/wedding-venues/hawk-conservancy-trust_7169.htm
V1081,Tournerbury,Hampshire,"Hayling Island, Hampshire",5.0,91.0,"From £3,950",venue,3950.0,"30 to 250
Guests",30.0,250.0,https://www.hitched.co.uk/wedding-venues/tournerbury_5865.htm
V1082,Blacknest Golf & Country Club,Hampshire,"Alton, Hampshire",5.0,42.0,From £85,meal,85.0,"70 to 150
Guests",70.0,150.0,https://www.hitched.co.uk/wedding-venues/blacknest-golf-country-club_5861.htm
V1083,Southdowns Manor,Hampshire,"Petersfield, Hampshire",5.0,172.0,From £99,meal,99.0,"10 to 150
Guests",10.0,150.0,https://www.hitched.co.uk/wedding-venues/southdowns-manor_2623.htm
V1084,The Basingstoke Country Hotel & Spa,Hampshire,"Hook, Hampshire",4.5,4.0,From £55,meal,55.0,"160
Guests",160.0,N/A,https://www.hitched.co.uk/wedding-venues/the-basingstoke-country-hotel-spa_1012.htm
V1085,Cain Manor,Hampshire,"Headley Down, Hampshire",4.9,197.0,N/A,N/A,N/A,"170
Guests",170.0,N/A,https://www.hitched.co.uk/wedding-venues/cain-manor_3182.htm
V1086,Botleys Mansion,Hampshire,Hampshire,4.9,118.0,N/A,N/A,N/A,"50 to 288
Guests",50.0,288.0,https://www.hitched.co.uk/wedding-venues/botleys-mansion_5324.htm
V1087,Old Thorns Hotel & Resort,Hampshire,"Liphook, Hampshire",4.9,65.0,"From £4,050",meal,4050.0,"40 to 500
Guests",40.0,500.0,https://www.hitched.co.uk/wedding-venues/old-thorns-manor-hotel-golf-country-estate_3383.htm
V1088,"Pembroke Lodge, Richmond Park",Hampshire,Hampshire,5.0,1131.0,From £109,meal,109.0,"20 to 146
Guests",20.0,146.0,https://www.hitched.co.uk/wedding-venues/pembroke-lodge-richmond-park_2060.htm
V1089,Wickham Estate Vineyard,Hampshire,"Southampton, Hampshire",5.0,38.0,"From £2,500",venue,2500.0,"50 to 85
Guests",50.0,85.0,https://www.hitched.co.uk/wedding-venues/wickham-estate-vineyard_198063.htm
V1090,Meon Valley Hotel & Country Club,Hampshire,"Southampton, Hampshire",4.9,34.0,From £1,meal,1.0,"10 to 100
Guests",10.0,100.0,https://www.hitched.co.uk/wedding-venues/meon-valley-hotel-country-club_1019.htm
V1091,Oakley Hall Hotel,Hampshire,"Oakley, Hampshire",5.0,121.0,From £139,meal,139.0,"10 to 400
Guests",10.0,400.0,https://www.hitched.co.uk/wedding-venues/oakley-hall-hotel_3803.htm
V1092,Aviator Hampshire,Hampshire,"Farnborough, Hampshire",5.0,17.0,From £120,meal,120.0,"2 to 125
Guests",2.0,125.0,https://www.hitched.co.uk/wedding-venues/aviator_5189.htm
V1093,The Casa Hotel,Hampshire,"Yateley, Hampshire",5.0,53.0,From £109,meal,109.0,"6 to 180
Guests",6.0,180.0,https://www.hitched.co.uk/wedding-venues/the-casa-hotel_4626.htm
V1094,voco Fareham-Solent,Hampshire,"Whiteley, Hampshire",5.0,21.0,From £38,meal,38.0,"80
Guests",80.0,N/A,https://www.hitched.co.uk/wedding-venues/voco-fareham-solent_195047.htm
V1095,The Mill House Hotel & Restaurant,Hampshire,Hampshire,5.0,169.0,From £79,meal,79.0,"10 to 120
Guests",10.0,120.0,https://www.hitched.co.uk/wedding-venues/the-mill-house-hotel-restaurant_2813.htm
V1096,Farnham Castle,Hampshire,Hampshire,4.9,52.0,"From £4,000",venue,4000.0,"30 to 265
Guests",30.0,265.0,https://www.hitched.co.uk/wedding-venues/farnham-castle_7363.htm
V1097,Avington Park,Hampshire,"Winchester, Hampshire",N/A,N/A,"From £5,000",venue,5000.0,"2 to 180
Guests",2.0,180.0,https://www.hitched.co.uk/wedding-venues/avington-park_280454.htm
V1098,Rivervale Barn,Hampshire,"Yateley, Hampshire",5.0,58.0,"From £2,900",venue,2900.0,"150
Guests",150.0,N/A,https://www.hitched.co.uk/wedding-venues/rivervale-barn_5858.htm
V1099,Audleys Wood Hotel,Hampshire,"Basingstoke, Hampshire",5.0,69.0,From £120,meal,120.0,"2 to 200
Guests",2.0,200.0,https://www.hitched.co.uk/wedding-venues/audleys-wood-hotel_4001.htm
V1100,Bury Court Barn,Hampshire,"Lower Froyle, Hampshire",4.9,46.0,"From £6,996",venue,6996.0,"60 to 200
Guests",60.0,200.0,https://www.hitched.co.uk/wedding-venues/bury-court-barn_3191.htm
V1101,The Tithe Barn,Hampshire,"Petersfield, Hampshire",5.0,1.0,N/A,N/A,N/A,"40 to 250
Guests",40.0,250.0,https://www.hitched.co.uk/wedding-venues/the-tithe-barn_363949.htm
V1102,voco Winchester Hotel & Spa,Hampshire,"Winchester, Hampshire",5.0,3.0,From £65,meal,65.0,"50 to 150
Guests",50.0,150.0,https://www.hitched.co.uk/wedding-venues/voco-winchester-hotel-&-spa_361411.htm
V1103,Rhinefield House Hotel,Hampshire,"Brockenhurst, Hampshire",5.0,28.0,From £164,meal,164.0,"2 to 130
Guests",2.0,130.0,https://www.hitched.co.uk/wedding-venues/rhinefield-house-hotel_1039.htm
V1104,Hawk Conservancy Trust,Hampshire,"Andover, Hampshire",4.8,5.0,"From £3,600",venue,3600.0,"2 to 50
Guests",2.0,50.0,https://www.hitched.co.uk/wedding-venues/hawk-conservancy-trust_7169.htm
V1105,Tournerbury,Hampshire,"Hayling Island, Hampshire",5.0,91.0,"From £3,950",venue,3950.0,"30 to 250
Guests",30.0,250.0,https://www.hitched.co.uk/wedding-venues/tournerbury_5865.htm
V1106,Blacknest Golf & Country Club,Hampshire,"Alton, Hampshire",5.0,42.0,From £85,meal,85.0,"70 to 150
Guests",70.0,150.0,https://www.hitched.co.uk/wedding-venues/blacknest-golf-country-club_5861.htm
V1107,Southdowns Manor,Hampshire,"Petersfield, Hampshire",5.0,172.0,From £99,meal,99.0,"10 to 150
Guests",10.0,150.0,https://www.hitched.co.uk/wedding-venues/southdowns-manor_2623.htm
V1108,The Basingstoke Country Hotel & Spa,Hampshire,"Hook, Hampshire",4.5,4.0,From £55,meal,55.0,"160
Guests",160.0,N/A,https://www.hitched.co.uk/wedding-venues/the-basingstoke-country-hotel-spa_1012.htm
V1109,Cain Manor,Hampshire,"Headley Down, Hampshire",4.9,197.0,N/A,N/A,N/A,"170
Guests",170.0,N/A,https://www.hitched.co.uk/wedding-venues/cain-manor_3182.htm
V1110,Botleys Mansion,Hampshire,Hampshire,4.9,118.0,N/A,N/A,N/A,"50 to 288
Guests",50.0,288.0,https://www.hitched.co.uk/wedding-venues/botleys-mansion_5324.htm
V1111,Old Thorns Hotel & Resort,Hampshire,"Liphook, Hampshire",4.9,65.0,"From £4,050",meal,4050.0,"40 to 500
Guests",40.0,500.0,https://www.hitched.co.uk/wedding-venues/old-thorns-manor-hotel-golf-country-estate_3383.htm
V1112,"Pembroke Lodge, Richmond Park",Hampshire,Hampshire,5.0,1131.0,From £109,meal,109.0,"20 to 146
Guests",20.0,146.0,https://www.hitched.co.uk/wedding-venues/pembroke-lodge-richmond-park_2060.htm
V1113,Wickham Estate Vineyard,Hampshire,"Southampton, Hampshire",5.0,38.0,"From £2,500",venue,2500.0,"50 to 85
Guests",50.0,85.0,https://www.hitched.co.uk/wedding-venues/wickham-estate-vineyard_198063.htm
V1114,Meon Valley Hotel & Country Club,Hampshire,"Southampton, Hampshire",4.9,34.0,From £1,meal,1.0,"10 to 100
Guests",10.0,100.0,https://www.hitched.co.uk/wedding-venues/meon-valley-hotel-country-club_1019.htm
V1115,Oakley Hall Hotel,Hampshire,"Oakley, Hampshire",5.0,121.0,From £139,meal,139.0,"10 to 400
Guests",10.0,400.0,https://www.hitched.co.uk/wedding-venues/oakley-hall-hotel_3803.htm
V1116,Aviator Hampshire,Hampshire,"Farnborough, Hampshire",5.0,17.0,From £120,meal,120.0,"2 to 125
Guests",2.0,125.0,https://www.hitched.co.uk/wedding-venues/aviator_5189.htm
V1117,The Casa Hotel,Hampshire,"Yateley, Hampshire",5.0,53.0,From £109,meal,109.0,"6 to 180
Guests",6.0,180.0,https://www.hitched.co.uk/wedding-venues/the-casa-hotel_4626.htm
V1118,voco Fareham-Solent,Hampshire,"Whiteley, Hampshire",5.0,21.0,From £38,meal,38.0,"80
Guests",80.0,N/A,https://www.hitched.co.uk/wedding-venues/voco-fareham-solent_195047.htm
V1119,The Mill House Hotel & Restaurant,Hampshire,Hampshire,5.0,169.0,From £79,meal,79.0,"10 to 120
Guests",10.0,120.0,https://www.hitched.co.uk/wedding-venues/the-mill-house-hotel-restaurant_2813.htm
V1120,Farnham Castle,Hampshire,Hampshire,4.9,52.0,"From £4,000",venue,4000.0,"30 to 265
Guests",30.0,265.0,https://www.hitched.co.uk/wedding-venues/farnham-castle_7363.htm
V1121,Avington Park,Hampshire,"Winchester, Hampshire",N/A,N/A,"From £5,000",venue,5000.0,"2 to 180
Guests",2.0,180.0,https://www.hitched.co.uk/wedding-venues/avington-park_280454.htm
V1122,Rivervale Barn,Hampshire,"Yateley, Hampshire",5.0,58.0,"From £2,900",venue,2900.0,"150
Guests",150.0,N/A,https://www.hitched.co.uk/wedding-venues/rivervale-barn_5858.htm
V1123,Audleys Wood Hotel,Hampshire,"Basingstoke, Hampshire",5.0,69.0,From £120,meal,120.0,"2 to 200
Guests",2.0,200.0,https://www.hitched.co.uk/wedding-venues/audleys-wood-hotel_4001.htm
V1124,Bury Court Barn,Hampshire,"Lower Froyle, Hampshire",4.9,46.0,"From £6,996",venue,6996.0,"60 to 200
Guests",60.0,200.0,https://www.hitched.co.uk/wedding-venues/bury-court-barn_3191.htm
V1125,The Tithe Barn,Hampshire,"Petersfield, Hampshire",5.0,1.0,N/A,N/A,N/A,"40 to 250
Guests",40.0,250.0,https://www.hitched.co.uk/wedding-venues/the-tithe-barn_363949.htm
V1126,voco Winchester Hotel & Spa,Hampshire,"Winchester, Hampshire",5.0,3.0,From £65,meal,65.0,"50 to 150
Guests",50.0,150.0,https://www.hitched.co.uk/wedding-venues/voco-winchester-hotel-&-spa_361411.htm
V1127,Rhinefield House Hotel,Hampshire,"Brockenhurst, Hampshire",5.0,28.0,From £164,meal,164.0,"2 to 130
Guests",2.0,130.0,https://www.hitched.co.uk/wedding-venues/rhinefield-house-hotel_1039.htm
V1128,Hawk Conservancy Trust,Hampshire,"Andover, Hampshire",4.8,5.0,"From £3,600",venue,3600.0,"2 to 50
Guests",2.0,50.0,https://www.hitched.co.uk/wedding-venues/hawk-conservancy-trust_7169.htm
V1129,Tournerbury,Hampshire,"Hayling Island, Hampshire",5.0,91.0,"From £3,950",venue,3950.0,"30 to 250
Guests",30.0,250.0,https://www.hitched.co.uk/wedding-venues/tournerbury_5865.htm
V1130,Blacknest Golf & Country Club,Hampshire,"Alton, Hampshire",5.0,42.0,From £85,meal,85.0,"70 to 150
Guests",70.0,150.0,https://www.hitched.co.uk/wedding-venues/blacknest-golf-country-club_5861.htm
V1131,Southdowns Manor,Hampshire,"Petersfield, Hampshire",5.0,172.0,From £99,meal,99.0,"10 to 150
Guests",10.0,150.0,https://www.hitched.co.uk/wedding-venues/southdowns-manor_2623.htm
V1132,The Basingstoke Country Hotel & Spa,Hampshire,"Hook, Hampshire",4.5,4.0,From £55,meal,55.0,"160
Guests",160.0,N/A,https://www.hitched.co.uk/wedding-venues/the-basingstoke-country-hotel-spa_1012.htm
V1133,Cain Manor,Hampshire,"Headley Down, Hampshire",4.9,197.0,N/A,N/A,N/A,"170
Guests",170.0,N/A,https://www.hitched.co.uk/wedding-venues/cain-manor_3182.htm
V1134,Botleys Mansion,Hampshire,Hampshire,4.9,118.0,N/A,N/A,N/A,"50 to 288
Guests",50.0,288.0,https://www.hitched.co.uk/wedding-venues/botleys-mansion_5324.htm
V1135,Old Thorns Hotel & Resort,Hampshire,"Liphook, Hampshire",4.9,65.0,"From £4,050",meal,4050.0,"40 to 500
Guests",40.0,500.0,https://www.hitched.co.uk/wedding-venues/old-thorns-manor-hotel-golf-country-estate_3383.htm
V1136,"Pembroke Lodge, Richmond Park",Hampshire,Hampshire,5.0,1131.0,From £109,meal,109.0,"20 to 146
Guests",20.0,146.0,https://www.hitched.co.uk/wedding-venues/pembroke-lodge-richmond-park_2060.htm
V1137,Wickham Estate Vineyard,Hampshire,"Southampton, Hampshire",5.0,38.0,"From £2,500",venue,2500.0,"50 to 85
Guests",50.0,85.0,https://www.hitched.co.uk/wedding-venues/wickham-estate-vineyard_198063.htm
V1138,Meon Valley Hotel & Country Club,Hampshire,"Southampton, Hampshire",4.9,34.0,From £1,meal,1.0,"10 to 100
Guests",10.0,100.0,https://www.hitched.co.uk/wedding-venues/meon-valley-hotel-country-club_1019.htm
V1139,Oakley Hall Hotel,Hampshire,"Oakley, Hampshire",5.0,121.0,From £139,meal,139.0,"10 to 400
Guests",10.0,400.0,https://www.hitched.co.uk/wedding-venues/oakley-hall-hotel_3803.htm
V1140,Aviator Hampshire,Hampshire,"Farnborough, Hampshire",5.0,17.0,From £120,meal,120.0,"2 to 125
Guests",2.0,125.0,https://www.hitched.co.uk/wedding-venues/aviator_5189.htm
V1141,The Casa Hotel,Hampshire,"Yateley, Hampshire",5.0,53.0,From £109,meal,109.0,"6 to 180
Guests",6.0,180.0,https://www.hitched.co.uk/wedding-venues/the-casa-hotel_4626.htm
V1142,voco Fareham-Solent,Hampshire,"Whiteley, Hampshire",5.0,21.0,From £38,meal,38.0,"80
Guests",80.0,N/A,https://www.hitched.co.uk/wedding-venues/voco-fareham-solent_195047.htm
V1143,The Mill House Hotel & Restaurant,Hampshire,Hampshire,5.0,169.0,From £79,meal,79.0,"10 to 120
Guests",10.0,120.0,https://www.hitched.co.uk/wedding-venues/the-mill-house-hotel-restaurant_2813.htm
V1144,Farnham Castle,Hampshire,Hampshire,4.9,52.0,"From £4,000",venue,4000.0,"30 to 265
Guests",30.0,265.0,https://www.hitched.co.uk/wedding-venues/farnham-castle_7363.htm
V1145,Avington Park,Hampshire,"Winchester, Hampshire",N/A,N/A,"From £5,000",venue,5000.0,"2 to 180
Guests",2.0,180.0,https://www.hitched.co.uk/wedding-venues/avington-park_280454.htm
V1146,Rivervale Barn,Hampshire,"Yateley, Hampshire",5.0,58.0,"From £2,900",venue,2900.0,"150
Guests",150.0,N/A,https://www.hitched.co.uk/wedding-venues/rivervale-barn_5858.htm
V1147,Audleys Wood Hotel,Hampshire,"Basingstoke, Hampshire",5.0,69.0,From £120,meal,120.0,"2 to 200
Guests",2.0,200.0,https://www.hitched.co.uk/wedding-venues/audleys-wood-hotel_4001.htm
V1148,Bury Court Barn,Hampshire,"Lower Froyle, Hampshire",4.9,46.0,"From £6,996",venue,6996.0,"60 to 200
Guests",60.0,200.0,https://www.hitched.co.uk/wedding-venues/bury-court-barn_3191.htm
V1149,The Tithe Barn,Hampshire,"Petersfield, Hampshire",5.0,1.0,N/A,N/A,N/A,"40 to 250
Guests",40.0,250.0,https://www.hitched.co.uk/wedding-venues/the-tithe-barn_363949.htm
V1150,voco Winchester Hotel & Spa,Hampshire,"Winchester, Hampshire",5.0,3.0,From £65,meal,65.0,"50 to 150
Guests",50.0,150.0,https://www.hitched.co.uk/wedding-venues/voco-winchester-hotel-&-spa_361411.htm
V1151,Rhinefield House Hotel,Hampshire,"Brockenhurst, Hampshire",5.0,28.0,From £164,meal,164.0,"2 to 130
Guests",2.0,130.0,https://www.hitched.co.uk/wedding-venues/rhinefield-house-hotel_1039.htm
V1152,Hawk Conservancy Trust,Hampshire,"Andover, Hampshire",4.8,5.0,"From £3,600",venue,3600.0,"2 to 50
Guests",2.0,50.0,https://www.hitched.co.uk/wedding-venues/hawk-conservancy-trust_7169.htm
V1153,The River Barn,North West - England,"Little Singleton, Lancashire",4.7,16.0,"From £5,795",venue,5795.0,"2 to 150
Guests",2.0,150.0,https://www.hitched.co.uk/wedding-venues/the-river-barn_293354.htm
V1154,The Astley Bank Hotel & Conference Centre,North West - England,"Darwen, Lancashire",5.0,38.0,N/A,N/A,N/A,"30 to 150
Guests",30.0,150.0,https://www.hitched.co.uk/wedding-venues/the-astley-bank-hotel-conference-centre_65.htm
V1155,Torr Vale Mill,North West - England,Cheshire,4.9,8.0,"From £4,695",venue,4695.0,"50 to 300
Guests",50.0,300.0,https://www.hitched.co.uk/wedding-venues/torr-vale-mill_8491.htm
V1156,Merrydale Manor,North West - England,"Knutsford, Cheshire",5.0,59.0,From £45.95,meal,45.95,"40 to 200
Guests",40.0,200.0,https://www.hitched.co.uk/wedding-venues/merrydale-manor_198487.htm
V1157,The Coniston Hotel,North West - England,Lancashire,5.0,179.0,From £99,meal,99.0,"2 to 200
Guests",2.0,200.0,https://www.hitched.co.uk/wedding-venues/the-coniston-hotel_1747.htm
V1158,Weddings at The University of Manchester,North West - England,"Manchester, Greater Manchester",5.0,6.0,"From £2,000",venue,2000.0,"20 to 360
Guests",20.0,360.0,https://www.hitched.co.uk/wedding-venues/weddings-at-the-university-of-manchester_8450.htm
V1159,Old Palace Chester,North West - England,"Chester, Cheshire",4.5,7.0,"From £2,500",venue,2500.0,"30 to 150
Guests",30.0,150.0,https://www.hitched.co.uk/wedding-venues/old-palace-chester_8203.htm
V1160,Brinsop Court Manor House and Barn,North West - England,Cheshire,5.0,116.0,From £55,meal,55.0,"30 to 250
Guests",30.0,250.0,https://www.hitched.co.uk/wedding-venues/brinsop-court-manor-house-and-barn_6218.htm
V1161,Crowne Plaza Liverpool John Lennon Airport,North West - England,"Speke, Merseyside",N/A,N/A,From £25,meal,25.0,"40 to 250
Guests",40.0,250.0,https://www.hitched.co.uk/wedding-venues/crowne-plaza-liverpool-john-lennon-airport_116248.htm
V1162,Upper House Estate,North West - England,Cheshire,N/A,N/A,"From £14,000",venue,14000.0,"30 to 130
Guests",30.0,130.0,https://www.hitched.co.uk/wedding-venues/upper-house-estate_296681.htm
V1163,The Ashes Barns and Country House,North West - England,Cheshire,5.0,650.0,"From £2,950",venue,2950.0,"150
Guests",150.0,N/A,https://www.hitched.co.uk/wedding-venues/the-ashes-barns-and-country-house_4706.htm
V1164,The Cheshire Venue,North West - England,"Sandbach, Cheshire",N/A,N/A,"From £5,500",venue,5500.0,"10 to 250
Guests",10.0,250.0,https://www.hitched.co.uk/wedding-venues/the-cheshire-venue_376957.htm
V1165,Hawkstone Hall,North West - England,Cheshire,5.0,19.0,From £95,meal,95.0,"60 to 170
Guests",60.0,170.0,https://www.hitched.co.uk/wedding-venues/hawkstone-hall_7688.htm
V1166,Colshaw Hall,North West - England,"Peover Superior, Cheshire",5.0,140.0,From £49.95,meal,49.95,"2 to 200
Guests",2.0,200.0,https://www.hitched.co.uk/wedding-venues/colshaw-hall_194151.htm
V1167,Longridge House,North West - England,"Preston, Lancashire",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.hitched.co.uk/wedding-venues/longridge-house_374549.htm
V1168,King Street Townhouse,North West - England,Cheshire,5.0,31.0,From £115,meal,115.0,"50 to 130
Guests",50.0,130.0,https://www.hitched.co.uk/wedding-venues/king-street-townhouse_6673.htm
V1169,Arley Hall & Gardens,North West - England,"Northwich, Cheshire",5.0,16.0,"From £6,000",meal,6000.0,"10 to 110
Guests",10.0,110.0,https://www.hitched.co.uk/wedding-venues/arley-hall-gardens_332.htm
V1170,Dalston Hall,North West - England,"Carlisle, Cumbria",4.8,17.0,"From £3,750",meal,3750.0,"20 to 142
Guests",20.0,142.0,https://www.hitched.co.uk/wedding-venues/dalston-hall_495.htm
V1171,Lady Grey Farm,North West - England,"Mobberley, Cheshire",5.0,1.0,"From £5,500",venue,5500.0,"40 to 120
Guests",40.0,120.0,https://www.hitched.co.uk/wedding-venues/lady-grey-farm_305308.htm
V1172,Oakmere Events - Wedding & Events Venue,North West - England,"Oakmere, Cheshire",5.0,1.0,"From £4,500",venue,4500.0,"20 to 130
Guests",20.0,130.0,https://www.hitched.co.uk/wedding-venues/oakmere-events-wedding-&-events-venue_332851.htm
V1173,Hilltop Country House,North West - England,"Macclesfield, Cheshire",5.0,55.0,"From £3,250",venue,3250.0,"200
Guests",200.0,N/A,https://www.hitched.co.uk/wedding-venues/hilltop-country-house_6622.htm
V1174,Burlton Manor,North West - England,Cheshire,5.0,14.0,"From £4,000",venue,4000.0,"40 to 300
Guests",40.0,300.0,https://www.hitched.co.uk/wedding-venues/burlton-manor_290990.htm
V1175,Leighton Hall,North West - England,"Warton, Lancashire",5.0,2.0,"From £3,500",venue,3500.0,"10 to 150
Guests",10.0,150.0,https://www.hitched.co.uk/wedding-venues/leighton-hall_4096.htm
V1176,Henblas Country Park,North West - England,Cheshire,5.0,2.0,"From £3,495",venue,3495.0,"10 to 250
Guests",10.0,250.0,https://www.hitched.co.uk/wedding-venues/henblas-country-park_8998.htm
V1177,The River Barn,North West - England,"Little Singleton, Lancashire",4.7,16.0,"From £5,795",venue,5795.0,"2 to 150
Guests",2.0,150.0,https://www.hitched.co.uk/wedding-venues/the-river-barn_293354.htm
